starttime,endtime,today,deviceid,malaria_intro,readiness_assessment_checklist,gps1_longitude,gps1_latitude,gps1_altitude,gps1_accuracy,gps1,time_of_assessment,date_of_visits,name_supervisor,organisation,other_organisation,region,district,planning_coordination,operational_plan_develop_1_1,coordination_team_established_1_2,micro_plan_finalized_1_3,funds_received_1_4,funds_distributed_1_5,funds_distributed_1_6,comments_planning_coordination,training,health_workers_trained_2_1,com_health_volunteers_trained_2_2,supervisors_identified_and_trained_2_3,comments_training,m_e,supervision_plan_developed_3_1,monitoring_tools_received_3_2,monitoring_tools_delivered_at_hf_3_3,comments_m_e,cold_chain_and_logistics,sufficient_coldchain_capacity_4_1,waste_mgt_assessment_4_2,vaccines_mgt_supplied_vaccines_4_3a,vaccines_mgt_supplied_ad_syringes_0_5ml_4_3b,vaccines_mgt_supplied_safety_boxes_4_3c,vaccines_mgt_supplied_comments_cold_chain_and_logistics,advocacy_communication,acsm_mgt_delivered_5_1,acsm_mgt_implemented_5_2,community_awareness_verified_5_3,comments_advocacy_communication,overall_comments_note,overall_comments,thank_you,meta_instance_id,id,system_submission_date,system_updated_at,system_submitter_id,system_submitter_name,system_attachments_present,system_attachments_expected,system_status,system_review_state,system_device_id,system_edits,system_form_version,odata_context
2025-03-13T07:17:33Z,2025-03-13T09:15:23Z,2025-03-13T00:00:00Z,collect:eZC1L1TORg06hIMR,NA,NA,34.6608389,2.5324627,1363.0999755859375,4.533,,1m,2025-03-13T00:00:00Z,Dr.Mugabe Frank,gov_moh,NA,Karamoja,Moroto,NA,no,no,yes,no,no,no,"Funds to be released immediately so that processes are made immediately.

System is on and off
",NA,no,no,no,Training materials to be made available ,NA,yes,no,no,Supply of updated tools ,NA,yes,no,no,no,no,NA,NA,no,no,no,Moroto has been having a translation . We take it that majority are aware of MVI but not dates and venues ,NA,"Mobilization should be strengthened

Vaccines to be supplied two weeks to implementation.

Planning was not done due to delay for MOH to share IPFs

Biostat monitored the tools",NA,uuid:18d35830-77b9-4a7e-8e3a-2b090a9f45c3,uuid:18d35830-77b9-4a7e-8e3a-2b090a9f45c3,2025-03-13T12:19:00.892Z,NA,1124,moh_assessor,0,0,NA,NA,collect:eZC1L1TORg06hIMR,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-11T06:31:00Z,2025-03-11T07:34:25Z,2025-03-11T00:00:00Z,collect:EoglRRwPIiGRNOze,NA,NA,31.766805,0.914845,1164.0999755859375,5,,1m,2025-03-07T00:00:00Z,Munganga MariaGorret ,gov_moh,NA,Tooro,Kasese,NA,yes,yes,yes,no,no,no,"Yet to start coordination meeting specifically on malaria.
Funds not yet in district 
Talking points on malaria not yet received ",NA,no,no,no,Training is urgently needed ,NA,no,yes,yes,Tools are available but not enough ,NA,yes,no,no,no,yes,Safety boxes available but not specific for malaria ,NA,no,no,no,"ACSM is the heart of SD ,people need information ",NA,"Community not aware, the host hasn't hinted on malaria vaccination ",NA,uuid:57cf69aa-9629-4d7d-b37f-cb5171576749,uuid:57cf69aa-9629-4d7d-b37f-cb5171576749,2025-03-11T07:34:29.494Z,NA,1124,moh_assessor,0,0,NA,NA,collect:EoglRRwPIiGRNOze,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-07T21:01:28Z,2025-03-11T06:21:50Z,2025-03-08T00:00:00Z,collect:EoglRRwPIiGRNOze,NA,NA,32.6368467,0.4658933,1107.7,4.74,,1m,2025-03-10T00:00:00Z,Munganga MariaGorret,gov_moh,NA,Tooro,Bundibugyo,NA,yes,yes,yes,no,no,no,"Coordination meeting by RDC 
Avail district with operational funds and education materials",NA,no,no,yes,Training of health workers,NA,no,yes,yes,Inform the teams that their no special tools for MVI,NA,yes,yes,no,no,yes,Completion of facility contingency plan,NA,no,yes,no,"Advocacy, mobilization  is wanting",NA,Health promotion department should up their arms ,NA,uuid:f0cad5d5-a612-4228-aca2-75a0cf4142e3,uuid:f0cad5d5-a612-4228-aca2-75a0cf4142e3,2025-03-11T06:21:52.184Z,NA,1124,moh_assessor,0,0,NA,NA,collect:EoglRRwPIiGRNOze,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-03T09:33:27Z,2025-03-10T11:18:52Z,2025-03-03T00:00:00Z,collect:YxGbd7A7nqn7aODX,NA,NA,33.9585419,0.9132565,1069.3302839276616,4.788,,1m,2025-03-03T00:00:00Z,Nghania Frehd,other,MoH - UNEPI,Bukedi,Butaleja,NA,yes,yes,yes,no,no,no,"Waiting to receive funds, IPFs, and guidance from MoH Unepi; the monthly coordination meetings have not started",NA,no,no,no,Common myths and misconceptions about vaccine; communities have expressed concerns about the increased number of injectable vaccines. It is important to deliver IEC materials before training is conducted.,NA,no,yes,yes,MVI IPF and guidelines should be shared urgently to guide supervision plans.,NA,yes,yes,no,no,no,Majority of health facilities use open pit burning. Green label supported retrieval and final disposal. Need to deliver the MVI vaccine and related supplies soonest as the introduction date is so close.,NA,no,no,no,"Central payments for ACSM activities always delay or even never paid. As a result, districts are hesitant to commit to initiating ACSM activities with assurance. Secondly, service providers are not comfortable as previous payments have not been effected. None of 5 persons interviewed had heard about Malaria Vaccine introduction",NA,"The district is not on track to conduct MVI in April 2025 unless IEC materials, IPFs, and guidelines as well as funds are delivered/disbursed immeidately to faxiliate planning, social mobilization and training. Generally, the districts are enthusiastic about the introduction of a malaria vaccine. They are, however, concerned about the delays in communication and preparing districts.",NA,uuid:2bcfb457-6b6c-4f3a-a936-002a31de532a,uuid:2bcfb457-6b6c-4f3a-a936-002a31de532a,2025-03-10T11:18:53.028Z,NA,1124,moh_assessor,0,0,NA,NA,collect:YxGbd7A7nqn7aODX,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-04T10:44:49Z,2025-03-10T11:18:42Z,2025-03-04T00:00:00Z,collect:YxGbd7A7nqn7aODX,NA,NA,34.18863,0.6880706,1215.5,4.714,,1m,2025-03-04T00:00:00Z,Nghania Frehd,other,MOH - UNEPi,Bukedi,Tororo,NA,yes,no,yes,no,no,no,"Districts needs to further clean the microplans, especially regarding the identification of resistant communities. The coordination committee established but needs activation towards MVI implementation. MoH needs to disburse funds; anticipated delays in cash limit and processing supplementary funds through Council, MOH should immediately share IPFs and guidelines",NA,no,no,no,"Rampant myths and misconceptions about vaccines, community fears around multiple injections, need to plan for sufficient periods for training. One day is not enough, IEC materials should be delivered ahead of time so they can be used during training as well.",NA,no,yes,yes,MOH to share IPFs so that realistic supervision plans are developed ,NA,yes,yes,no,no,no,"21 cold boxes, but 11 are phased out and are non functional. Close to 401 vaccine carriers, but 150 are damaged. Limited storage space for cold boxes and vaccine carriers as a result of the district having a small DVS. NMS to deliver vaccines and supplies sooner as well as dispatch teams to support cold chain maintenance before the introduction.",NA,no,no,no,"MoH to share IEC materials soonest. The communities were not yet aware of the MVI as only 2 out of 5 interviewed reported that they had heard. Moreover, they couldn't remember the date and venues mentioned in the messages they heard.",NA,"The district is not on track to conduct MVI in April 2025 unless IEC materials, IPFs, and guidelines as well as funds are delivered/disbursed immeidately to faxiliate planning, social mobilization and training. Generally, the districts are enthusiastic about the introduction of a malaria vaccine. They are, however, concerned about the delays in communication and preparing districts.",NA,uuid:a04f8bed-7230-4dc2-8624-8dc8126d7f0a,uuid:a04f8bed-7230-4dc2-8624-8dc8126d7f0a,2025-03-10T11:18:43.025Z,NA,1124,moh_assessor,0,0,NA,NA,collect:YxGbd7A7nqn7aODX,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-07T11:15:11Z,2025-03-07T11:41:28Z,2025-03-07T00:00:00Z,collect:UgCtJbqjGaO4AFTb,NA,NA,34.2386634,1.2282384,1123,48.9,,1m,2025-03-07T00:00:00Z,Damascus Akampurira,gov_moh,NA,Bugisu,Sironko,NA,no,yes,yes,no,no,yes,Delay of funds hinder most activities,NA,no,no,no,Training has not started due to lack of funds,NA,yes,yes,yes,More training needed on the use of some monitoring tools,NA,yes,yes,no,yes,yes,Poor vaccine house at the district,NA,no,yes,no,"More intensive mobilisation needed especially the resistant communities

Allocating funds for hard to reach areas ",NA,"Intensive mobilisation in resistant communities 
Poor vaccine house
Allocation of funds for hard to reach areas ",NA,uuid:9b879bc4-2b7e-4cf3-857b-676d3bab4dec,uuid:9b879bc4-2b7e-4cf3-857b-676d3bab4dec,2025-03-07T11:41:30.597Z,NA,1124,moh_assessor,0,0,NA,NA,collect:UgCtJbqjGaO4AFTb,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-07T07:00:08Z,2025-03-07T11:37:01Z,2025-03-07T00:00:00Z,collect:yfZkOajt55oMRUkg,NA,NA,32.4613215,1.3137835,1093.800048828125,20,,1m,2025-03-07T00:00:00Z,Biryomumisho Hashim,gov_moh,NA,North_Central,Nakasongola,NA,no,no,yes,no,no,no,NA,NA,no,no,no,NA,NA,no,yes,yes,NA,NA,no,yes,no,no,no,NA,NA,no,no,no,NA,NA,NA,NA,uuid:edca0413-9c04-42d4-888a-396c03f35ec1,uuid:edca0413-9c04-42d4-888a-396c03f35ec1,2025-03-07T11:37:17.218Z,NA,1124,moh_assessor,0,0,NA,NA,collect:yfZkOajt55oMRUkg,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-06T08:29:18Z,2025-03-07T10:58:42Z,2025-03-06T00:00:00Z,collect:MGl4lhGl8SpDIH5l,NA,NA,33.0318133,0.3397772,1220.0999755859375,11.433,,1m,2025-03-06T00:00:00Z,Turyasingura Michael,gov_moh,NA,North_Central,Buikwe,NA,no,yes,no,no,no,no,Budget and timelines have not been shared with the district ,NA,no,no,no,Budget ha snot been shared with the District to know the  number of participants ,NA,no,no,no,The implementing partners are no longer supporting them,NA,no,no,no,no,no,They don't have enough cold chain capacity to cater for the new vaccines ,NA,no,no,no,There is need for intensive sensitisation in the community and the health workers.,NA,"Most of the areas rely on the availability of funds and these need to be disbursed. 
Planning and trainings have not been done.
There's also need to focus on waste disposal.",NA,uuid:ecd72d54-647b-4bdc-90f7-1a9636192ce4,uuid:ecd72d54-647b-4bdc-90f7-1a9636192ce4,2025-03-07T10:58:43.954Z,NA,1124,moh_assessor,0,0,NA,NA,collect:MGl4lhGl8SpDIH5l,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-07T10:18:11Z,2025-03-07T10:23:33Z,2025-03-07T00:00:00Z,collect:GCaIg7qePoyLZu4E,NA,NA,34.7244908,1.8638946,1403,4.7,,1m,2025-03-07T00:00:00Z,Yasiini Nuwamanya ,gov_moh,NA,Karamoja,Nakapiripirit,NA,no,yes,yes,no,no,yes,Operational plans for all core activities are not yet developed ,NA,no,no,no,Trainings awaiting central supervisors,NA,no,yes,no,Updated EPI tools not yet received ,NA,yes,no,no,no,no,Updated EPI tools not yet delivered ,NA,no,no,no,Awareness creation in the district has not yet started.,NA,The district is generally unprepared for MVI at the moment ,NA,uuid:82b6bcb7-59df-42b3-b160-93b261315088,uuid:82b6bcb7-59df-42b3-b160-93b261315088,2025-03-07T10:23:34.571Z,NA,1124,moh_assessor,0,0,NA,NA,collect:GCaIg7qePoyLZu4E,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
2025-03-04T12:37:20Z,2025-03-07T10:05:18Z,2025-03-04T00:00:00Z,collect:SWUA4BF3E9fazbPC,NA,NA,30.9122334,3.0181268,601.70001220703125,4.661,,1m,2025-03-04T00:00:00Z,Patricia Thiwe,gov_moh,NA,West_Nile,Arua,NA,yes,no,yes,no,no,no,Poor overall coordination at the District for MVI activities. District waiting communication from MoH,NA,no,no,no,Trainings will be conducted after the District training ,NA,no,yes,yes,Routine data tools available ,NA,yes,no,no,no,no,More fridge tags needed ,NA,no,no,no,Intensify social mobilisation activities ,NA,District not yet ready for implementation ,NA,uuid:920befb7-587f-4e01-b50f-d202feab3563,uuid:920befb7-587f-4e01-b50f-d202feab3563,2025-03-07T10:05:22.525Z,NA,1124,moh_assessor,0,0,NA,NA,collect:SWUA4BF3E9fazbPC,0,V1.2,https://mohodk.dataug.net/v1/projects/59/forms/malaria_readiness_assessment.svc/$metadata#Submissions
